2026-06-15 23:13:19,915 | ERROR | [system] | Critical Database Infrastructure Fault during init: could not translate host name "db" to address: Name or service not known
2026-06-15 23:15:02,898 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:04,040 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:05,181 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:05,416 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:07,189 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:07,190 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:07,855 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:08,415 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:09,887 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:15,664 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:15,699 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:16,731 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:17,167 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:17,741 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:18,390 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:18,666 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:19,739 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:19,774 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:19,858 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:20,426 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:21,364 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:21,380 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:22,465 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:23,166 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:24,067 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:24,366 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:25,867 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:27,059 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:27,191 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:29,201 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:29,871 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:30,050 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:36,434 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:37,159 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:37,306 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:37,759 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:39,723 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:39,841 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:40,443 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:42,402 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:16:17,755 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:16:17,756 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:16:20,437 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:16:52,133 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:16:55,631 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:03,346 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:15,591 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:17,441 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:17,737 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:19,058 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:20,141 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:26,750 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:39,010 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:42,478 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:17:50,167 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:02,421 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:05,896 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:13,206 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:13,206 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:13,602 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:15,879 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:25,868 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:29,314 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:37,031 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:49,271 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:18:52,759 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:00,459 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:12,718 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:12,884 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:13,176 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:15,574 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:16,159 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:23,882 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:36,144 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:39,597 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:47,304 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:19:59,556 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:03,029 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:10,729 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:13,207 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:13,208 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:20,450 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:22,997 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:26,447 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:34,166 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:46,431 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:49,893 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:20:57,616 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:09,899 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:12,894 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:13,210 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:13,343 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:15,578 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:21,045 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:33,304 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:36,769 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:44,480 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:21:56,713 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:00,198 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:07,905 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:17,751 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:17,751 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:20,173 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:20,439 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:23,621 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:31,317 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:43,576 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:47,020 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:22:54,719 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:06,976 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:10,453 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:12,887 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:13,195 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:15,577 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:18,171 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:30,440 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:33,902 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:41,614 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:53,879 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:23:57,333 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:05,040 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:17,308 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:17,758 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:17,792 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:20,458 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:20,772 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:28,475 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:40,727 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:44,193 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:24:51,894 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:04,145 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:07,596 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:12,896 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:13,213 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:15,312 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:15,580 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:27,547 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:31,046 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:38,749 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:51,015 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:25:54,471 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:26:02,183 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:26:14,481 | ERROR | [system] | Failed to persist Agent metrics to PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:26:17,752 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

