2026-05-27 15:08:53,762 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.4%
2026-05-27 15:10:10,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.3%
2026-05-27 15:10:12,195 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.2%
2026-05-27 15:10:12,195 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.2%
2026-05-27 15:10:12,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.3%
2026-05-27 15:10:14,202 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.0%
2026-05-27 15:10:14,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.7%
2026-05-27 15:10:14,203 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.1%
2026-05-27 15:10:16,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.0%
2026-05-27 15:10:16,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.7%
2026-05-27 15:10:16,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.3%
2026-05-27 15:10:18,197 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.6%
2026-05-27 15:10:18,197 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.9%
2026-05-27 15:10:18,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.5%
2026-05-27 15:10:20,202 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.7%
2026-05-27 15:10:20,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 93.1%
2026-05-27 15:10:20,202 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.8%
2026-05-27 15:10:22,203 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.0%
2026-05-27 15:10:22,203 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.9%
2026-05-27 15:10:22,204 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.1%
2026-05-27 15:10:24,199 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.5%
2026-05-27 15:10:24,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.8%
2026-05-27 15:10:24,200 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.3%
2026-05-27 15:10:26,200 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.7%
2026-05-27 15:10:26,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.9%
2026-05-27 15:10:26,200 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.2%
2026-05-27 15:10:28,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 87.7%
2026-05-27 15:10:28,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.3%
2026-05-27 15:10:28,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.8%
2026-05-27 15:10:30,192 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.3%
2026-05-27 15:10:30,192 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.0%
2026-05-27 15:10:30,192 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.1%
2026-05-27 15:10:32,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 87.7%
2026-05-27 15:10:32,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.5%
2026-05-27 15:10:32,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.1%
2026-05-27 15:10:34,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.2%
2026-05-27 15:10:34,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.7%
2026-05-27 15:10:34,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.5%
2026-05-27 15:10:36,192 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.4%
2026-05-27 15:10:36,193 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.8%
2026-05-27 15:10:36,193 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.4%
2026-05-27 15:10:38,201 | WARNING | alerts | server-1 - HIGH RAM USAGE: 87.9%
2026-05-27 15:10:38,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.6%
2026-05-27 15:10:38,202 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.7%
2026-05-27 15:10:40,202 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.8%
2026-05-27 15:10:40,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.6%
2026-05-27 15:10:40,203 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.7%
2026-05-27 15:10:42,222 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.9%
2026-05-27 15:10:42,222 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.7%
2026-05-27 15:10:42,223 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.6%
2026-05-27 15:10:44,195 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.1%
2026-05-27 15:10:44,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.8%
2026-05-27 15:10:44,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.2%
2026-05-27 15:10:46,197 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.7%
2026-05-27 15:10:46,197 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.8%
2026-05-27 15:10:46,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.0%
2026-05-27 15:10:48,198 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.9%
2026-05-27 15:10:48,199 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.9%
2026-05-27 15:10:48,199 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.9%
2026-05-27 15:10:50,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.9%
2026-05-27 15:10:50,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.8%
2026-05-27 15:10:50,206 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.2%
2026-05-27 15:10:52,197 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.7%
2026-05-27 15:10:52,197 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.3%
2026-05-27 15:10:52,198 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.8%
2026-05-27 15:10:54,199 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.4%
2026-05-27 15:10:54,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.6%
2026-05-27 15:10:54,200 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.7%
2026-05-27 15:10:56,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.2%
2026-05-27 15:10:56,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.0%
2026-05-27 15:10:56,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.2%
2026-05-27 15:10:58,204 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.1%
2026-05-27 15:10:58,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.6%
2026-05-27 15:10:58,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.0%
2026-05-27 15:11:00,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.9%
2026-05-27 15:11:00,206 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.1%
2026-05-27 15:11:00,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.1%
2026-05-27 15:11:02,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 93.4%
2026-05-27 15:11:02,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.7%
2026-05-27 15:11:02,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.8%
2026-05-27 15:11:04,199 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.4%
2026-05-27 15:11:04,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 93.5%
2026-05-27 15:11:04,200 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.1%
2026-05-27 15:11:06,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 87.7%
2026-05-27 15:11:06,206 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.5%
2026-05-27 15:11:06,206 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.4%
2026-05-27 15:11:08,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 93.1%
2026-05-27 15:11:08,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.5%
2026-05-27 15:11:08,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.6%
2026-05-27 15:11:10,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.2%
2026-05-27 15:11:10,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.0%
2026-05-27 15:11:10,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 93.4%
2026-05-27 15:11:12,202 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.3%
2026-05-27 15:11:12,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.4%
2026-05-27 15:11:12,202 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.0%
2026-05-27 15:11:14,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.0%
2026-05-27 15:11:14,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.0%
2026-05-27 15:11:14,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.0%
2026-05-27 15:11:16,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.2%
2026-05-27 15:11:16,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.6%
2026-05-27 15:11:16,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.5%
2026-05-27 15:11:18,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.4%
2026-05-27 15:11:18,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.0%
2026-05-27 15:11:18,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.5%
2026-05-27 15:11:20,202 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.6%
2026-05-27 15:11:20,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.8%
2026-05-27 15:11:20,203 | WARNING | alerts | server-3 - HIGH RAM USAGE: 93.1%
2026-05-27 15:11:22,192 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.6%
2026-05-27 15:11:22,192 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.9%
2026-05-27 15:11:22,193 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.9%
2026-05-27 15:11:24,195 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.3%
2026-05-27 15:11:24,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.8%
2026-05-27 15:11:24,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.4%
2026-05-27 15:11:26,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.3%
2026-05-27 15:11:26,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.8%
2026-05-27 15:11:26,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.3%
2026-05-27 15:11:28,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.8%
2026-05-27 15:11:28,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.2%
2026-05-27 15:11:28,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.4%
2026-05-27 15:11:30,194 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.8%
2026-05-27 15:11:30,194 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.4%
2026-05-27 15:11:30,195 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.0%
2026-05-27 15:11:32,201 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.3%
2026-05-27 15:11:32,201 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.3%
2026-05-27 15:11:32,201 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.1%
2026-05-27 15:11:34,193 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.6%
2026-05-27 15:11:34,193 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.1%
2026-05-27 15:11:34,194 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.1%
2026-05-27 15:11:36,192 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.3%
2026-05-27 15:11:36,192 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.0%
2026-05-27 15:11:36,192 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.8%
2026-05-27 15:11:38,199 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.8%
2026-05-27 15:11:38,199 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.2%
2026-05-27 15:11:40,199 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.2%
2026-05-27 15:11:40,199 | WARNING | alerts | server-3 - HIGH RAM USAGE: 86.7%
2026-05-27 15:11:42,237 | WARNING | alerts | server-1 - HIGH RAM USAGE: 86.1%
2026-05-27 15:11:42,237 | WARNING | alerts | server-3 - HIGH CPU USAGE: 96.2%
2026-05-27 15:11:42,237 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.9%
2026-05-27 15:11:44,208 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.3%
2026-05-27 15:11:44,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 85.3%
2026-05-27 15:11:44,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.1%
2026-05-27 15:11:46,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 87.1%
2026-05-27 15:11:46,197 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.0%
2026-05-27 15:11:48,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.0%
2026-05-27 15:11:48,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 85.3%
2026-05-27 15:11:48,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 85.9%
2026-05-27 15:11:50,195 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.3%
2026-05-27 15:11:50,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 86.3%
2026-05-27 15:11:50,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 86.9%
2026-05-27 15:11:52,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 86.1%
2026-05-27 15:11:54,208 | WARNING | alerts | server-1 - HIGH RAM USAGE: 85.1%
2026-05-27 15:11:54,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 85.2%
2026-05-27 15:11:54,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.8%
2026-05-27 15:11:56,204 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.8%
2026-05-27 15:11:56,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 85.7%
2026-05-27 15:11:56,206 | WARNING | alerts | server-3 - HIGH RAM USAGE: 85.6%
2026-05-27 15:11:58,204 | WARNING | alerts | server-1 - HIGH CPU USAGE: 96.5%
2026-05-27 15:11:58,204 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.3%
2026-05-27 15:11:58,204 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.8%
2026-05-27 15:11:58,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.0%
2026-05-27 15:12:00,203 | WARNING | alerts | server-1 - HIGH RAM USAGE: 86.4%
2026-05-27 15:12:00,203 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.9%
2026-05-27 15:12:00,203 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.2%
2026-05-27 15:12:02,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.0%
2026-05-27 15:12:02,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 85.8%
2026-05-27 15:12:02,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 86.4%
2026-05-27 15:12:04,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.1%
2026-05-27 15:12:04,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.9%
2026-05-27 15:12:06,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.7%
2026-05-27 15:12:06,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 85.4%
2026-05-27 15:12:08,201 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.4%
2026-05-27 15:12:08,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.7%
